Panelist,Attribute,Juice,Rank
NLB,Sourness_T,H,2
NLB,Sweetness_T,A,8
NLB,Sweetness_T,B,5
NLB,Sweetness_T,C,1
NLB,Sweetness_T,D,3
NLB,Sweetness_T,E,3
NLB,Sweetness_T,F,7
NLB,Sweetness_T,G,5
NLB,Sweetness_T,H,8
NLB,Bitterness_T,A,2
NLB,Bitterness_T,B,3
NLB,Bitterness_T,C,5
NLB,Bitterness_T,D,3
NLB,Bitterness_T,E,7
NLB,Bitterness_T,F,2
NLB,Bitterness_T,G,6
NLB,Bitterness_T,H,2
NLB,Artificial_T,A,7
NLB,Artificial_T,B,2
NLB,Artificial_T,C,3
NLB,Artificial_T,D,2
NLB,Artificial_T,E,5
NLB,Artificial_T,F,8
NLB,Artificial_T,G,3
NLB,Artificial_T,H,7
NLB,Overall_strength_of_orange_flavour,A,5
NLB,Overall_strength_of_orange_flavour,B,6
NLB,Overall_strength_of_orange_flavour,C,6
NLB,Overall_strength_of_orange_flavour,D,8
NLB,Overall_strength_of_orange_flavour,E,4
NLB,Overall_strength_of_orange_flavour,F,3
NLB,Overall_strength_of_orange_flavour,G,8
NLB,Overall_strength_of_orange_flavour,H,2
NLB,Richness,A,3
NLB,Richness,B,6
NLB,Richness,C,4
NLB,Richness,D,7
NLB,Richness,E,3
NLB,Richness,F,1
NLB,Richness,G,6
NLB,Richness,H,2
NLB,Acidity_AF,A,1
NLB,Acidity_AF,B,6
NLB,Acidity_AF,C,8
NLB,Acidity_AF,D,5
NLB,Acidity_AF,E,7
NLB,Acidity_AF,F,2
NLB,Acidity_AF,G,6
NLB,Acidity_AF,H,2
NLB,Duration,A,3
NLB,Duration,B,3
NLB,Duration,C,8
NLB,Duration,D,6
NLB,Duration,E,4
NLB,Duration,F,2
NLB,Duration,G,6
NLB,Duration,H,1
SLB,Yellow_color_intensity,A,1
SLB,Yellow_color_intensity,B,7
SLB,Yellow_color_intensity,C,1
SLB,Yellow_color_intensity,D,9
SLB,Yellow_color_intensity,E,5
SLB,Yellow_color_intensity,F,1
SLB,Yellow_color_intensity,G,7
SLB,Yellow_color_intensity,H,1
SLB,Orange_color_intensity,A,8
SLB,Orange_color_intensity,B,1
SLB,Orange_color_intensity,C,1
SLB,Orange_color_intensity,D,1
SLB,Orange_color_intensity,E,1
SLB,Orange_color_intensity,F,7
SLB,Orange_color_intensity,G,1
SLB,Orange_color_intensity,H,9
SLB,Red_color_intensity,A,1
SLB,Red_color_intensity,B,1
SLB,Red_color_intensity,C,9
SLB,Red_color_intensity,D,1
SLB,Red_color_intensity,E,1
SLB,Red_color_intensity,F,1
SLB,Red_color_intensity,G,1
SLB,Red_color_intensity,H,1
SLB,Sweetness_O,A,8
SLB,Sweetness_O,B,2
SLB,Sweetness_O,C,2
SLB,Sweetness_O,D,2
SLB,Sweetness_O,E,6
SLB,Sweetness_O,F,9
SLB,Sweetness_O,G,4
SLB,Sweetness_O,H,8
SLB,Sourness_O,A,1
SLB,Sourness_O,B,7
SLB,Sourness_O,C,6
SLB,Sourness_O,D,6
SLB,Sourness_O,E,6
SLB,Sourness_O,F,1
SLB,Sourness_O,G,6
SLB,Sourness_O,H,4
SLB,Sweetness_T,A,7
SLB,Sweetness_T,B,7
SLB,Sweetness_T,C,5
SLB,Sweetness_T,D,6
SLB,Sweetness_T,E,6
SLB,Sweetness_T,F,9
SLB,Sweetness_T,G,6
SLB,Sweetness_T,H,9
SLB,Sourness_T,A,1
SLB,Sourness_T,B,4
SLB,Sourness_T,C,6
SLB,Sourness_T,D,3
SLB,Sourness_T,E,3
SLB,Sourness_T,F,1
SLB,Sourness_T,G,2
SLB,Sourness_T,H,1
SLB,Bitterness_T,A,1
SLB,Bitterness_T,B,5
SLB,Bitterness_T,C,3
SLB,Bitterness_T,D,2
SLB,Bitterness_T,E,3
SLB,Bitterness_T,F,1
SLB,Bitterness_T,G,2
SLB,Bitterness_T,H,1
SLB,Orange_Intensity_T,A,1
SLB,Orange_Intensity_T,B,8
SLB,Orange_Intensity_T,C,4
SLB,Orange_Intensity_T,D,7
SLB,Orange_Intensity_T,E,3
SLB,Orange_Intensity_T,F,1
SLB,Orange_Intensity_T,G,7
SLB,Orange_Intensity_T,H,2
SLB,Richness,A,1
SLB,Richness,B,7
SLB,Richness,C,4
SLB,Richness,D,7
SLB,Richness,E,3
SLB,Richness,F,1
SLB,Richness,G,6
SLB,Richness,H,2
SLB,Pulp,A,1
SLB,Pulp,B,NA
SLB,Pulp,C,1
SLB,Pulp,D,8
SLB,Pulp,E,1
SLB,Pulp,F,1
SLB,Pulp,G,1
SLB,Pulp,H,1
SLB,Sourness_AF,A,1
SLB,Sourness_AF,B,3
SLB,Sourness_AF,C,6
SLB,Sourness_AF,D,2
SLB,Sourness_AF,E,2
SLB,Sourness_AF,F,1
SLB,Sourness_AF,G,4
SLB,Sourness_AF,H,1
SLB,Bitterness_AF,A,2
SLB,Bitterness_AF,B,3
SLB,Bitterness_AF,C,2
SLB,Bitterness_AF,D,2
SLB,Bitterness_AF,E,2
SLB,Bitterness_AF,F,1
SLB,Bitterness_AF,G,2
SLB,Bitterness_AF,H,1
LB,Color_intensity,A,6
LB,Color_intensity,B,3
LB,Color_intensity,C,9
LB,Color_intensity,D,4
LB,Color_intensity,E,2
LB,Color_intensity,F,5
LB,Color_intensity,G,4
LB,Color_intensity,H,5
LB,Sweetness_O,A,7
LB,Sweetness_O,B,4
LB,Sweetness_O,C,5
LB,Sweetness_O,D,4
LB,Sweetness_O,E,7
LB,Sweetness_O,F,4
LB,Sweetness_O,G,7
LB,Sweetness_O,H,4
LB,Sweetness_T,A,7
LB,Sweetness_T,B,7
LB,Sweetness_T,C,3
LB,Sweetness_T,D,6
LB,Sweetness_T,E,8
LB,Sweetness_T,F,4
LB,Sweetness_T,G,6
LB,Sweetness_T,H,8
LB,Processed_T,A,6
LB,Processed_T,B,5
LB,Processed_T,C,4
LB,Processed_T,D,3
LB,Processed_T,E,8
LB,Processed_T,F,6
LB,Processed_T,G,8
LB,Processed_T,H,6
LB,Metal_T,A,4
LB,Metal_T,B,8
LB,Metal_T,C,7
LB,Metal_T,D,5
LB,Metal_T,E,2
LB,Metal_T,F,6
LB,Metal_T,G,8
LB,Metal_T,H,7
LB,Sourness_T,A,2
LB,Sourness_T,B,6
LB,Sourness_T,C,8
LB,Sourness_T,D,6
LB,Sourness_T,E,3
LB,Sourness_T,F,6
LB,Sourness_T,G,7
LB,Sourness_T,H,5
LB,Bitterness_T,A,3
LB,Bitterness_T,B,4
LB,Bitterness_T,C,5
LB,Bitterness_T,D,2
LB,Bitterness_T,E,1
LB,Bitterness_T,F,3
LB,Bitterness_T,G,2
LB,Bitterness_T,H,1
LB,Duration_AF,A,7
LB,Duration_AF,B,6
LB,Duration_AF,C,6
LB,Duration_AF,D,5
LB,Duration_AF,E,3
LB,Duration_AF,F,3
LB,Duration_AF,G,8
LB,Duration_AF,H,4
LB,Packaging_T,A,6
LB,Packaging_T,B,6
LB,Packaging_T,C,3
LB,Packaging_T,D,4
LB,Packaging_T,E,5
LB,Packaging_T,F,5
LB,Packaging_T,G,6
LB,Packaging_T,H,7
LB,Richness,A,4
LB,Richness,B,5
LB,Richness,C,6
LB,Richness,D,7
LB,Richness,E,2
LB,Richness,F,2
LB,Richness,G,4
LB,Richness,H,3
LB,Pulp,A,2
LB,Pulp,B,4
LB,Pulp,C,4
LB,Pulp,D,8
LB,Pulp,E,1
LB,Pulp,F,1
LB,Pulp,G,2
LB,Pulp,H,2
SC,Artificial_color,A,8
SC,Artificial_color,B,2
SC,Artificial_color,C,9
SC,Artificial_color,D,2
SC,Artificial_color,E,8
SC,Artificial_color,F,9
SC,Artificial_color,G,7
SC,Artificial_color,H,2
SC,Orange_color_intensity,A,4
SC,Orange_color_intensity,B,8
SC,Orange_color_intensity,C,1
SC,Orange_color_intensity,D,7
SC,Orange_color_intensity,E,2
SC,Orange_color_intensity,F,2
SC,Orange_color_intensity,G,7
SC,Orange_color_intensity,H,4
SC,Orange_O,A,2
SC,Orange_O,B,7
SC,Orange_O,C,2
SC,Orange_O,D,7
SC,Orange_O,E,3
SC,Orange_O,F,2
SC,Orange_O,G,6
SC,Orange_O,H,6
SC,Sweetness_O,A,8
SC,Sweetness_O,B,3
SC,Sweetness_O,C,7
SC,Sweetness_O,D,3
SC,Sweetness_O,E,7
SC,Sweetness_O,F,6
SC,Sweetness_O,G,2
SC,Sweetness_O,H,6
SC,Acidity_O,A,2
SC,Acidity_O,B,6
SC,Acidity_O,C,2
SC,Acidity_O,D,2
SC,Acidity_O,E,2
SC,Acidity_O,F,2
SC,Acidity_O,G,3
SC,Acidity_O,H,5
SC,Orange_T,A,2
SC,Orange_T,B,8
SC,Orange_T,C,6
SC,Orange_T,D,8
SC,Orange_T,E,2
SC,Orange_T,F,1
SC,Orange_T,G,7
SC,Orange_T,H,6
SC,Sweetness_T,A,8
SC,Sweetness_T,B,3
SC,Sweetness_T,C,4
SC,Sweetness_T,D,2
SC,Sweetness_T,E,8
SC,Sweetness_T,F,7
SC,Sweetness_T,G,2
SC,Sweetness_T,H,6
SC,Acidity_T,A,2
SC,Acidity_T,B,6
SC,Acidity_T,C,7
SC,Acidity_T,D,7
SC,Acidity_T,E,2
SC,Acidity_T,F,3
SC,Acidity_T,G,7
SC,Acidity_T,H,5
SC,Bitterness_T,A,1
SC,Bitterness_T,B,1
SC,Bitterness_T,C,1
SC,Bitterness_T,D,4
SC,Bitterness_T,E,1
SC,Bitterness_T,F,1
SC,Bitterness_T,G,2
SC,Bitterness_T,H,1
SC,Astringency_T,A,1
SC,Astringency_T,B,3
SC,Astringency_T,C,3
SC,Astringency_T,D,2
SC,Astringency_T,E,2
SC,Astringency_T,F,1
SC,Astringency_T,G,3
SC,Astringency_T,H,2
SC,Richness_T,A,2
SC,Richness_T,B,7
SC,Richness_T,C,6
SC,Richness_T,D,8
SC,Richness_T,E,3
SC,Richness_T,F,2
SC,Richness_T,G,7
SC,Richness_T,H,3
SC,Orange_AF,A,2
SC,Orange_AF,B,7
SC,Orange_AF,C,6
SC,Orange_AF,D,8
SC,Orange_AF,E,2
SC,Orange_AF,F,2
SC,Orange_AF,G,8
SC,Orange_AF,H,6
SC,Sweetness_AF,A,7
SC,Sweetness_AF,B,2
SC,Sweetness_AF,C,2
SC,Sweetness_AF,D,3
SC,Sweetness_AF,E,7
SC,Sweetness_AF,F,6
SC,Sweetness_AF,G,3
SC,Sweetness_AF,H,6
SC,Acidity_AF,A,2
SC,Acidity_AF,B,6
SC,Acidity_AF,C,7
SC,Acidity_AF,D,6
SC,Acidity_AF,E,2
SC,Acidity_AF,F,2
SC,Acidity_AF,G,7
SC,Acidity_AF,H,6
SC,Bitterness_AF,A,1
SC,Bitterness_AF,B,1
SC,Bitterness_AF,C,1
SC,Bitterness_AF,D,2
SC,Bitterness_AF,E,1
SC,Bitterness_AF,F,1
SC,Bitterness_AF,G,2
SC,Bitterness_AF,H,1
SC,Astringency_AF,A,1
SC,Astringency_AF,B,3
SC,Astringency_AF,C,3
SC,Astringency_AF,D,3
SC,Astringency_AF,E,1
SC,Astringency_AF,F,1
SC,Astringency_AF,G,3
SC,Astringency_AF,H,2
SD,Redness,A,6
SD,Redness,B,1
SD,Redness,C,9
SD,Redness,D,2
SD,Redness,E,5
SD,Redness,F,6
SD,Redness,G,1
SD,Redness,H,7
SD,Yellowness,A,6
SD,Yellowness,B,9
SD,Yellowness,C,1
SD,Yellowness,D,8
SD,Yellowness,E,7
SD,Yellowness,F,7
SD,Yellowness,G,9
SD,Yellowness,H,6
SD,Turbidity,A,6
SD,Turbidity,B,9
SD,Turbidity,C,8
SD,Turbidity,D,9
SD,Turbidity,E,5
SD,Turbidity,F,1
SD,Turbidity,G,8
SD,Turbidity,H,7
SD,Sweetness_O,A,6
SD,Sweetness_O,B,3
SD,Sweetness_O,C,3
SD,Sweetness_O,D,1
SD,Sweetness_O,E,6
SD,Sweetness_O,F,8
SD,Sweetness_O,G,6
SD,Sweetness_O,H,8
SD,Fruitiness_O,A,7
SD,Fruitiness_O,B,2
SD,Fruitiness_O,C,2
SD,Fruitiness_O,D,1
SD,Fruitiness_O,E,2
SD,Fruitiness_O,F,6
SD,Fruitiness_O,G,3
SD,Fruitiness_O,H,6
SD,Artificial_O,A,6
SD,Artificial_O,B,2
SD,Artificial_O,C,7
SD,Artificial_O,D,7
SD,Artificial_O,E,7
SD,Artificial_O,F,9
SD,Artificial_O,G,5
SD,Artificial_O,H,7
SD,Sourness_O,A,4
SD,Sourness_O,B,2
SD,Sourness_O,C,2
SD,Sourness_O,D,1
SD,Sourness_O,E,2
SD,Sourness_O,F,2
SD,Sourness_O,G,7
SD,Sourness_O,H,2
SD,Packaging_O,A,3
SD,Packaging_O,B,2
SD,Packaging_O,C,5
SD,Packaging_O,D,7
SD,Packaging_O,E,7
SD,Packaging_O,F,4
SD,Packaging_O,G,3
SD,Packaging_O,H,5
SD,Fermented_O,A,2
SD,Fermented_O,B,1
SD,Fermented_O,C,6
SD,Fermented_O,D,1
SD,Fermented_O,E,5
SD,Fermented_O,F,2
SD,Fermented_O,G,4
SD,Fermented_O,H,3
SD,Sourness_T,A,7
SD,Sourness_T,B,6
SD,Sourness_T,C,8
SD,Sourness_T,D,5
SD,Sourness_T,E,6
SD,Sourness_T,F,5
SD,Sourness_T,G,4
SD,Sourness_T,H,3
SD,Sweetness_T,A,5
SD,Sweetness_T,B,4
SD,Sweetness_T,C,4
SD,Sweetness_T,D,7
SD,Sweetness_T,E,7
SD,Sweetness_T,F,7
SD,Sweetness_T,G,6
SD,Sweetness_T,H,8
SD,Bitterness_T,A,2
SD,Bitterness_T,B,6
SD,Bitterness_T,C,7
SD,Bitterness_T,D,3
SD,Bitterness_T,E,3
SD,Bitterness_T,F,2
SD,Bitterness_T,G,3
SD,Bitterness_T,H,2
SD,Astringency_T,A,2
SD,Astringency_T,B,2
SD,Astringency_T,C,5
SD,Astringency_T,D,2
SD,Astringency_T,E,4
SD,Astringency_T,F,2
SD,Astringency_T,G,5
SD,Astringency_T,H,7
SD,Pulp,A,2
SD,Pulp,B,8
SD,Pulp,C,2
SD,Pulp,D,9
SD,Pulp,E,1
SD,Pulp,F,1
SD,Pulp,G,6
SD,Pulp,H,2
SD,Richness,A,5
SD,Richness,B,6
SD,Richness,C,3
SD,Richness,D,5
SD,Richness,E,3
SD,Richness,F,4
SD,Richness,G,4
SD,Richness,H,6
SLPF,Yellow_intensity_C,A,2
SLPF,Yellow_intensity_C,B,8
SLPF,Yellow_intensity_C,C,1
SLPF,Yellow_intensity_C,D,8
SLPF,Yellow_intensity_C,E,8
SLPF,Yellow_intensity_C,F,2
SLPF,Yellow_intensity_C,G,8
SLPF,Yellow_intensity_C,H,2
SLPF,Orange_intensity_C,A,8
SLPF,Orange_intensity_C,B,2
SLPF,Orange_intensity_C,C,2
SLPF,Orange_intensity_C,D,2
SLPF,Orange_intensity_C,E,3
SLPF,Orange_intensity_C,F,8
SLPF,Orange_intensity_C,G,2
SLPF,Orange_intensity_C,H,7
SLPF,Red_intensity_C,A,2
SLPF,Red_intensity_C,B,1
SLPF,Red_intensity_C,C,8
SLPF,Red_intensity_C,D,1
SLPF,Red_intensity_C,E,1
SLPF,Red_intensity_C,F,3
SLPF,Red_intensity_C,G,1
SLPF,Red_intensity_C,H,3
SLPF,Orange_aroma,A,3
SLPF,Orange_aroma,B,6
SLPF,Orange_aroma,C,4
SLPF,Orange_aroma,D,7
SLPF,Orange_aroma,E,4
SLPF,Orange_aroma,F,2
SLPF,Orange_aroma,G,6
SLPF,Orange_aroma,H,2
SLPF,Artificial_odour,A,8
SLPF,Artificial_odour,B,7
SLPF,Artificial_odour,C,8
SLPF,Artificial_odour,D,5
SLPF,Artificial_odour,E,7
SLPF,Artificial_odour,F,9
SLPF,Artificial_odour,G,7
SLPF,Artificial_odour,H,8
SLPF,Sourness_T,A,1
SLPF,Sourness_T,B,3
SLPF,Sourness_T,C,9
SLPF,Sourness_T,D,7
SLPF,Sourness_T,E,8
SLPF,Sourness_T,F,3
SLPF,Sourness_T,G,6
SLPF,Sourness_T,H,6
SLPF,Sweetness_T,A,8
SLPF,Sweetness_T,B,4
SLPF,Sweetness_T,C,2
SLPF,Sweetness_T,D,3
SLPF,Sweetness_T,E,7
SLPF,Sweetness_T,F,8
SLPF,Sweetness_T,G,4
SLPF,Sweetness_T,H,7
SLPF,Bitterness_T,A,1
SLPF,Bitterness_T,B,3
SLPF,Bitterness_T,C,2
SLPF,Bitterness_T,D,2
SLPF,Bitterness_T,E,2
SLPF,Bitterness_T,F,1
SLPF,Bitterness_T,G,3
SLPF,Bitterness_T,H,1
SLPF,Orange_flavour,A,2
SLPF,Orange_flavour,B,7
SLPF,Orange_flavour,C,2
SLPF,Orange_flavour,D,7
SLPF,Orange_flavour,E,5
SLPF,Orange_flavour,F,2
SLPF,Orange_flavour,G,6
SLPF,Orange_flavour,H,3
SLPF,Artificial_taste,A,8
SLPF,Artificial_taste,B,5
SLPF,Artificial_taste,C,8
SLPF,Artificial_taste,D,5
SLPF,Artificial_taste,E,7
SLPF,Artificial_taste,F,9
SLPF,Artificial_taste,G,7
SLPF,Artificial_taste,H,9
SLPF,Acidity_AF,A,4
SLPF,Acidity_AF,B,3
SLPF,Acidity_AF,C,6
SLPF,Acidity_AF,D,3
SLPF,Acidity_AF,E,3
SLPF,Acidity_AF,F,2
SLPF,Acidity_AF,G,6
SLPF,Acidity_AF,H,2
SLPF,Sourness_AF,A,1
SLPF,Sourness_AF,B,3
SLPF,Sourness_AF,C,7
SLPF,Sourness_AF,D,2
SLPF,Sourness_AF,E,2
SLPF,Sourness_AF,F,2
SLPF,Sourness_AF,G,5
SLPF,Sourness_AF,H,3
SLPF,Bitterness_AF,A,1
SLPF,Bitterness_AF,B,2
SLPF,Bitterness_AF,C,2
SLPF,Bitterness_AF,D,1
SLPF,Bitterness_AF,E,1
SLPF,Bitterness_AF,F,2
SLPF,Bitterness_AF,G,2
SLPF,Bitterness_AF,H,2
SLPF,Pulp,A,1
SLPF,Pulp,B,8
SLPF,Pulp,C,1
SLPF,Pulp,D,8
SLPF,Pulp,E,1
SLPF,Pulp,F,1
SLPF,Pulp,G,2
SLPF,Pulp,H,1
SLPF,Richness,A,2
SLPF,Richness,B,7
SLPF,Richness,C,3
SLPF,Richness,D,6
SLPF,Richness,E,2
SLPF,Richness,F,2
SLPF,Richness,G,3
SLPF,Richness,H,2
REJ,Orange_intesity,A,7
REJ,Orange_intesity,B,5
REJ,Orange_intesity,C,2
REJ,Orange_intesity,D,4
REJ,Orange_intesity,E,6
REJ,Orange_intesity,F,8
REJ,Orange_intesity,G,7
REJ,Orange_intesity,H,7
REJ,Sweetness_O,A,8
REJ,Sweetness_O,B,6
REJ,Sweetness_O,C,4
REJ,Sweetness_O,D,3
REJ,Sweetness_O,E,6
REJ,Sweetness_O,F,8
REJ,Sweetness_O,G,6
REJ,Sweetness_O,H,8
REJ,Sweetness_T,A,9
REJ,Sweetness_T,B,4
REJ,Sweetness_T,C,3
REJ,Sweetness_T,D,3
REJ,Sweetness_T,E,6
REJ,Sweetness_T,F,9
REJ,Sweetness_T,G,7
REJ,Sweetness_T,H,9
REJ,Sourness_O,A,7
REJ,Sourness_O,B,4
REJ,Sourness_O,C,8
REJ,Sourness_O,D,7
REJ,Sourness_O,E,8
REJ,Sourness_O,F,3
REJ,Sourness_O,G,5
REJ,Sourness_O,H,6
REJ,Sourness_T,A,6
REJ,Sourness_T,B,7
REJ,Sourness_T,C,8
REJ,Sourness_T,D,8
REJ,Sourness_T,E,8
REJ,Sourness_T,F,4
REJ,Sourness_T,G,6
REJ,Sourness_T,H,7
REJ,Aged_O,A,1
REJ,Aged_O,B,3
REJ,Aged_O,C,7
REJ,Aged_O,D,1
REJ,Aged_O,E,4
REJ,Aged_O,F,1
REJ,Aged_O,G,8
REJ,Aged_O,H,1
REJ,Aged_T,A,1
REJ,Aged_T,B,4
REJ,Aged_T,C,7
REJ,Aged_T,D,1
REJ,Aged_T,E,6
REJ,Aged_T,F,4
REJ,Aged_T,G,8
REJ,Aged_T,H,1
REJ,Bitterness_T,A,4
REJ,Bitterness_T,B,4
REJ,Bitterness_T,C,7
REJ,Bitterness_T,D,3
REJ,Bitterness_T,E,7
REJ,Bitterness_T,F,4
REJ,Bitterness_T,G,7
REJ,Bitterness_T,H,1
REJ,Acidity_T,A,3
REJ,Acidity_T,B,6
REJ,Acidity_T,C,8
REJ,Acidity_T,D,7
REJ,Acidity_T,E,4
REJ,Acidity_T,F,2
REJ,Acidity_T,G,5
REJ,Acidity_T,H,8
REJ,Artificial_T,A,7
REJ,Artificial_T,B,1
REJ,Artificial_T,C,6
REJ,Artificial_T,D,2
REJ,Artificial_T,E,3
REJ,Artificial_T,F,7
REJ,Artificial_T,G,2
REJ,Artificial_T,H,9
REJ,Bitterness_AF,A,7
REJ,Bitterness_AF,B,7
REJ,Bitterness_AF,C,2
REJ,Bitterness_AF,D,2
REJ,Bitterness_AF,E,8
REJ,Bitterness_AF,F,9
REJ,Bitterness_AF,G,8
REJ,Bitterness_AF,H,1
REJ,Fermented_T,A,3
REJ,Fermented_T,B,3
REJ,Fermented_T,C,7
REJ,Fermented_T,D,2
REJ,Fermented_T,E,6
REJ,Fermented_T,F,2
REJ,Fermented_T,G,9
REJ,Fermented_T,H,2
REJ,Astringency,A,2
REJ,Astringency,B,5
REJ,Astringency,C,8
REJ,Astringency,D,9
REJ,Astringency,E,8
REJ,Astringency,F,2
REJ,Astringency,G,6
REJ,Astringency,H,7
REJ,Pulp,A,1
REJ,Pulp,B,7
REJ,Pulp,C,1
REJ,Pulp,D,9
REJ,Pulp,E,3
REJ,Pulp,F,1
REJ,Pulp,G,8
REJ,Pulp,H,1
REJ,Yellow_Intensity,A,4
REJ,Yellow_Intensity,B,7
REJ,Yellow_Intensity,C,1
REJ,Yellow_Intensity,D,8
REJ,Yellow_Intensity,E,4
REJ,Yellow_Intensity,F,1
REJ,Yellow_Intensity,G,8
REJ,Yellow_Intensity,H,5
REJ,Red_Intensity,A,2
REJ,Red_Intensity,B,1
REJ,Red_Intensity,C,8
REJ,Red_Intensity,D,1
REJ,Red_Intensity,E,1
REJ,Red_Intensity,F,1
REJ,Red_Intensity,G,1
REJ,Red_Intensity,H,1
AHMK,Sourness_O,A,2
AHMK,Sourness_O,B,1
AHMK,Sourness_O,C,3
AHMK,Sourness_O,D,3
AHMK,Sourness_O,E,1
AHMK,Sourness_O,F,1
AHMK,Sourness_O,G,3
AHMK,Sourness_O,H,2
AHMK,Artificial_O,A,3
AHMK,Artificial_O,B,6
AHMK,Artificial_O,C,1
AHMK,Artificial_O,D,1
AHMK,Artificial_O,E,5
AHMK,Artificial_O,F,8
AHMK,Artificial_O,G,5
AHMK,Artificial_O,H,6
AHMK,Yellow_Color,A,1
AHMK,Yellow_Color,B,8
AHMK,Yellow_Color,C,1
AHMK,Yellow_Color,D,8
AHMK,Yellow_Color,E,4
AHMK,Yellow_Color,F,1
AHMK,Yellow_Color,G,7
AHMK,Yellow_Color,H,1
AHMK,Red_Color,A,1
AHMK,Red_Color,B,1
AHMK,Red_Color,C,8
AHMK,Red_Color,D,1
AHMK,Red_Color,E,1
AHMK,Red_Color,F,1
AHMK,Red_Color,G,1
AHMK,Red_Color,H,1
AHMK,Orange_Color,A,7
AHMK,Orange_Color,B,1
AHMK,Orange_Color,C,1
AHMK,Orange_Color,D,1
AHMK,Orange_Color,E,4
AHMK,Orange_Color,F,8
AHMK,Orange_Color,G,2
AHMK,Orange_Color,H,9
AHMK,Sourness_T,A,3
AHMK,Sourness_T,B,5
AHMK,Sourness_T,C,7
AHMK,Sourness_T,D,5
AHMK,Sourness_T,E,3
AHMK,Sourness_T,F,3
AHMK,Sourness_T,G,6
AHMK,Sourness_T,H,7
AHMK,Sweetness_T,A,5
AHMK,Sweetness_T,B,2
AHMK,Sweetness_T,C,2
AHMK,Sweetness_T,D,2
AHMK,Sweetness_T,E,6
AHMK,Sweetness_T,F,7
AHMK,Sweetness_T,G,3
